subject,summary,press,date,link
"떨어지는 다이아몬드값, 배후에는 ‘이 나라’가?…결혼기피·인공보석에 ‘굴욕’","세계적으로 귀금속과 광물 가격이 치솟는 추세인 가운데, 영원한 사랑의 상징이자 대표적인 사치재로 꼽히는 다이아몬드는 가격이 내려가는 굴.. 매일경제 | 2024-12-23 22:21:10",매일경제,2024-12-23 22:21:10,https://n.news.naver.com/mnews/article/009/0005418639
“연말 보너스라도 좀 챙기자”…고배당 찾는 뭉칫돈 ‘이 종목’에 몰린다는데,키움증권·효성·한일시멘트 6% 배당수익률에 투자 몰려 일주일새 주가 5% 이상 급등 코스피200 기업 절반 가까이 ‘벚꽃배당’으로 기준.. 매일경제 | 2024-12-23 21:10:08,매일경제,2024-12-23 21:10:08,https://n.news.naver.com/mnews/article/009/0005418631
"“국장 떠나는 개미, 그래도 이건 꼭 잡았다”…이자에 매매차익까지 있다는데",채권개미 올 40조 사들여 코스피 순매수 금액 3배 달해 표면이율 낮으면 가격 더 올라 금리 더 떨어지기 전에 사재기 금투세 폐지로 차.. 매일경제 | 2024-12-23 20:58:14,매일경제,2024-12-23 20:58:14,https://n.news.naver.com/mnews/article/009/0005418629
"“그 회사 대표가 OOO 의원 동창이래”…위험천만 정치테마주, 결국",탄핵 정국에 급등락 주의보 정치테마 지수 2개월새 40%↑ 비상계엄 선포·해제와 이어진 탄핵 정국으로 정치 테마주 주가가 이전 대비 4.. 매일경제 | 2024-12-23 20:20:11,매일경제,2024-12-23 20:20:11,https://n.news.naver.com/mnews/article/009/0005418620
"금감원, 이수페타시스 유상증자 또 제동… 증권신고서 두 번째 반려",금융감독원이 23일 이수페타시스의 5500억원 규모 유상증자에 또 다시 제동을 걸었다. 금감원은 지난 11일 이수페타시스가 제출한 유상.. 조선비즈 | 2024-12-23 20:09:07,조선비즈,2024-12-23 20:09:07,https://n.news.naver.com/mnews/article/366/0001042343
"고려아연, 내달 임시주총 안건 확정…이사수 상한·집중투표제 등",고려아연이 다음달 23일 열리는 임시주주총회에서 이사회 이사 수를 19명으로 제한하는 안과 집중투표제 도입 등의 안건을 다루기로 했다... 한국경제 | 2024-12-23 19:49:14,한국경제,2024-12-23 19:49:14,https://n.news.naver.com/mnews/article/015/0005073803
“금요일 저녁에 이래도 됩니까”…코스닥사 기습 유증에 난리 난 개미들,‘2500억 유상증자’ 차바이오텍 하루새 주가 29% 하락 신저가 지아이이노베이션은 8%대 뚝 코스닥에 상장한 바이오 기업들이 나란히 .. 매일경제 | 2024-12-23 19:49:11,매일경제,2024-12-23 19:49:11,https://n.news.naver.com/mnews/article/009/0005418615
"MBK·영풍, “판세 불리한 최윤범 회장, 주주간 분쟁 지속시키려 집중투표제 악용”","23일 고려아연 이사회가 집중투표제를 포함해 이사 총수를 19인으로 제한하는 것을 내달 임시주주총회 안건으로 결의하자, MBK파트너스·.. 매일경제 | 2024-12-23 19:32:11",매일경제,2024-12-23 19:32:11,https://n.news.naver.com/mnews/article/009/0005418609
"MBK·영풍 “최윤범 회장, 집중투표제 악용…회장직 유지 위한 꼼수” 주장","고려아연 이사회가 다음달 열릴 임시주주총회 안건을 23일 공개한 가운데, MBK파트너스-영풍 연합은 최윤범 회장 측이 집중 투표제를 악.. 조선비즈 | 2024-12-23 19:01:10",조선비즈,2024-12-23 19:01:10,https://n.news.naver.com/mnews/article/366/0001042340
"한앤코, SK스페셜티 경영권 2.7조에 인수 [시그널]",사모펀드(PEF) 운용사 한앤컴퍼니가 SK(034730)㈜의 특수가스 자회사인 SK스페셜티 지분 85%를 2조 7000억 원에 사들인다.. 서울경제 | 2024-12-23 18:55:11,서울경제,2024-12-23 18:55:11,https://n.news.naver.com/mnews/article/011/0004431463
비트코인부터 金까지 글로벌 '에브리싱 랠리'…코스피만 '-8%' 굴욕,‘달러가 오르면 금값은 내린다.’ ‘안전자산이 오르면 위험자산은 내린다.’ 지난 수십 년간 재테크 시장에서 통용되던 전통적 논리가 무너.. 한국경제 | 2024-12-23 18:42:20,한국경제,2024-12-23 18:42:20,https://n.news.naver.com/mnews/article/015/0005073767
韓-美 증시 수익률 격차 24년 만에 최대로 벌어져,올해 미국·한국 양국 증시 대표 지수의 수익률 차이가 24년 만에 최대 수준까지 벌어졌다. 올해 미국 증시 강세가 두드러진 반면 국내 .. 한국경제 | 2024-12-23 18:40:20,한국경제,2024-12-23 18:40:20,https://n.news.naver.com/mnews/article/015/0005073764
"격차 좁힌 한투, 뒷걸음질 KB…내년 ETF `3위 다툼` 주목",꾸준한 자금 유입으로 최근 상장지수펀드(ETF) 시장 규모가 170조원을 넘어서면서 내년 자산운용사간 ETF 점유율 다툼이 한층 치열해.. 디지털타임스 | 2024-12-23 18:40:14,디지털타임스,2024-12-23 18:40:14,https://n.news.naver.com/mnews/article/029/0002924922
"글랜우드PE, 바이오매스 발전사 SGC그린파워 인수 안한다",사모펀드(PEF) 운용사 글랜우드프라이빗에쿼티가 바이오매스 발전사 SGC그린파워를 인수하려던 계획을 철회했다. 양사는 10월 말 주식매.. 조선비즈 | 2024-12-23 18:36:12,조선비즈,2024-12-23 18:36:12,https://n.news.naver.com/mnews/article/366/0001042338
"""치솟는 美증시로""… 국장 탈출한 개미들, 해외ETF 올인","올해 개인투자자들의 상장지수펀드 순매수금액이 역대 최대치로 치솟았다. 다만, 전체 순매수 금액에서 해외 매수비중이 60%를 넘어 ETF.. 파이낸셜뉴스 | 2024-12-23 18:33:20",파이낸셜뉴스,2024-12-23 18:33:20,https://n.news.naver.com/mnews/article/014/0005286403
“다 같은 수출株 아니다” 킹달러에 웃는 종목 따로 있네[투자360],수출주 중 반도체만 힘 못써 KRX 반도체 지수 전년 대비 20.94% 하락 트럼프 타고 조선柱 날개 [게티이미지뱅크·한국조선해양 자료.. 헤럴드경제 | 2024-12-23 18:31:10,헤럴드경제,2024-12-23 18:31:10,https://n.news.naver.com/mnews/article/016/0002406587
"이영곤 토스證 리서치센터장 ""내년에도 美 증시가 대세 2분기 조정 때 주워담아라""",이 기사는 국내 최대 해외 투자정보 플랫폼 한경 글로벌마켓에 게재된 기사입니다. “내년도 ‘미국 주식의 해’가 될 겁니다. 인공지능(A.. 한국경제 | 2024-12-23 18:27:13,한국경제,2024-12-23 18:27:13,https://n.news.naver.com/mnews/article/015/0005073731
"""美 선박법 수혜…K조선, 내년에도 순항""",국내 주요 조선주가 상승세를 타고 있다. 미국 의회에서 중국 조선업을 견제하는 ‘선박법’이 초당적 지지를 얻어 발의되면서다. 증권가에서.. 한국경제 | 2024-12-23 18:25:12,한국경제,2024-12-23 18:25:12,https://n.news.naver.com/mnews/article/015/0005073728
"韓은 버티기, 美는 올라타기…잘나가는 ETF '180도' 달랐다","이 기사는 국내 최대 해외 투자정보 플랫폼 한경 글로벌마켓에 게재된 기사입니다. 올해 국내 증시에서는 고배당·저변동성 전략이, 미국 증.. 한국경제 | 2024-12-23 18:22:13",한국경제,2024-12-23 18:22:13,https://n.news.naver.com/mnews/article/015/0005073723
"한앤컴퍼니, SK스페셜티 85% 2.7兆에 인수[fn마켓워치]",한앤컴퍼니가 세계 특수가스 제조 1위 기업 SK스페셜티 85%를 약 2조7000억원에 인수한다. SK는 23일 이사회를 열고 이같은 주.. 파이낸셜뉴스 | 2024-12-23 18:19:14,파이낸셜뉴스,2024-12-23 18:19:14,https://n.news.naver.com/mnews/article/014/0005286354
"""밀어붙였지만···"" 금감원, 이수페타시스 유상증자 두 번째 반려",금융감독원이 주주배정 유상증자를 밀어붙인 이수페타시스에 재차 정정요구 결정을 내렸다. 앞서 제이오 인수를 목적으로 발표해 주주들 원성을.. 파이낸셜뉴스 | 2024-12-23 18:14:15,파이낸셜뉴스,2024-12-23 18:14:15,https://n.news.naver.com/mnews/article/014/0005286350
"넷플릭스 손잡은 SBS, 순식간에 급등... 시총 1조원 뚫는다고?",최근 넷플릭스와 전략적 파트너십 계약을 체결한 SBS가 주식시장에서 폭발적인 강세다. 시장 기대감이 커지는 상황에서 증권가의 목표주가 .. 머니투데이 | 2024-12-23 18:04:29,머니투데이,2024-12-23 18:04:29,https://n.news.naver.com/mnews/article/008/0005132529
연말배당 고집한 덕 봤네 … 키움證·효성 쑥,6% 배당수익률에 투자 몰려 일주일새 주가 5% 이상 급등 코스피200 기업 절반 가까이 '벚꽃배당'으로 기준일 변경 상장사가 대거 '.. 매일경제 | 2024-12-23 17:56:11,매일경제,2024-12-23 17:56:11,https://n.news.naver.com/mnews/article/009/0005418537
서학개미 순매수 15배↑…증권사 美진출 가속,윤석열 대통령의 비상계엄 사태 이후 서학 개미들의 미국 주식 순매수액이 무려 전달 대비 15배 폭증한 것으로 나타났다. 이 기간 코스피.. 서울경제 | 2024-12-23 17:51:12,서울경제,2024-12-23 17:51:12,https://n.news.naver.com/mnews/article/011/0004431419
